,url,title,bed,title2,location,badge,cancellation_policy,accommodates,price_per_night,amenity_Hướng nhìn đẹp mắt,amenity_Phòng tắm,amenity_Phòng ngủ và giặt ủi,amenity_Giải trí,amenity_Gia đình,amenity_Hệ thống sưởi và làm mát,amenity_Quyền riêng tư và an toàn,amenity_Internet và văn phòng,amenity_Đồ dùng nấu bếp và ăn uống,amenity_Các đặc điểm về vị trí,amenity_Ngoài trời,amenity_Chỗ đỗ xe và cơ sở vật chất,amenity_Dịch vụ,amenity_Không bao gồm,rating_Total,rating_Mức độ sạch sẽ,rating_Độ chính xác,rating_Nhận phòng,rating_Giao tiếp,rating_Vị trí,rating_Giá trị,prices_Phí vệ sinh,prices_Phí dịch vụ Airbnb,amenity_An toàn nhà ở,prices_Ưu đãi đặc biệt,prices_Giảm giá cho thời gian ở dài hạn,prices_Giảm giá cho khách đặt sớm
0,https://www.airbnb.com.vn/rooms/1040496159462518322?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-12-17&check_out=2023-12-22&source_impression_id=p3_1702210146_g2BlMDgnOOI7yKO3&previous_page_section_name=1000,Thư giãn tại căn hộ có Netflix/chỗ đỗ xe trong khuôn viên,2 khách ·  · 1 phòng ngủ  ·  · 1 giường ·  · 1 phòng tắm,,,,,,$18,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,https://www.airbnb.com.vn/rooms/999222372551649136?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1760444378&check_in=2023-12-10&check_out=2023-12-15&source_impression_id=p3_1702210146_V2jSbdlFA7hfN1zN&previous_page_section_name=1000,Phòng lớn Landmark 81 khu vực phòng tập thể dục thoải mái Hồ bơi A/C,2 giường ·  · Phòng vệ sinh chung,"Phòng tại Bình Thạnh, Việt Nam","Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",,Hoàn tiền một phần: Nhận tiền hoàn lại cho tất cả các đêm cách thời điểm bạn hủy 24 giờ trở lên. Không được hoàn tiền phí dịch vụ hoặc chi phí cho các đêm bạn đã ở.,Tối đa 3 khách,$22,"['Hướng nhìn ra sông', 'Hướng nhìn ra công viên']","['Máy sấy tóc', 'Dầu gội đầu Hair care', 'Dầu xả Hair care', 'Xà phòng tắm Dove', 'Nước nóng']","['Máy giặt', 'Tiện nghi thiết yếu', 'Móc treo quần áo', 'Bộ chăn ga gối', 'Mành chắn sáng cho phòng', 'Giá phơi quần áo', 'Nơi để quần áo: tủ quần áo']","['47"" HDTV với Amazon Prime Video, Netflix', 'Thiết bị tập thể dục: máy tập toàn thân, tạ tay, máy tập đạp xe, máy chạy bộ', 'Sách và ấn phẩm để đọc', 'Rạp chiếu phim']",['Sân chơi ngoài trời'],['Điều hòa nhiệt độ'],"['Khóa ở cửa phòng ngủ', 'Camera an ninh trong nhà', 'Máy báo khói', 'Bộ sơ cứu']","['Wi-fi nhanh – 321 Mbps', 'Không gian riêng để làm việc']","['Bếp', 'Tủ lạnh', 'Lò vi sóng', 'Đồ nấu ăn cơ bản', 'Bát đĩa và đồ bạc', 'Tủ đông', 'Bếp từ', 'Ấm đun nước nóng', 'Nồi cơm điện', 'Bàn ăn']","['Ven sông/hồ/biển', 'Lối ra hồ', 'Hiệu giặt ủi tự động gần đây']","['Sân hiên hoặc ban công riêng', 'Khu vực ăn uống ngoài trời', 'Lò nướng BBQ']","['Bể bơi Chung ngoài trời – có sẵn hoặc phục vụ quanh năm, mở cửa theo giờ giấc cụ thể', 'Thang máy', 'Phòng thể hình chung trong tòa nhà', 'Chỗ đỗ xe có thu phí trong khuôn viên', 'Nhà một tầng']","['Cho phép ở dài hạn', 'Tự nhận phòng', 'Khóa thông minh']","['Không có: Máy sấy quần áo', 'Không có: Máy phát hiện khí CO', 'Không có: Hệ thống sưởi']","4,60 · 5 đánh giá","4,8","4,6","5,0","4,8","5,0","5,0",$3,$16,,,,
2,https://www.airbnb.com.vn/rooms/786064121729115468?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-12-10&check_out=2023-12-15&source_impression_id=p3_1702210146_zVBWrZ7xqHJtT1x8&previous_page_section_name=1000,Căn hộ 2Q Studio-Rooftop Pool&Spa-Hochiminh City,3 khách ·  · 1 phòng ngủ  ·  · 1 giường ·  · 1 phòng tắm,"Toàn bộ căn hộ cho thuê tại Bình Thạnh, Việt Nam","Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",,,,$29,['Hướng nhìn ra đường chân trời thành phố'],"['Máy sấy tóc', 'Sản phẩm vệ sinh', 'Dầu gội đầu', 'Xà phòng tắm', 'Bồn cầu vệ sinh thông minh', 'Nước nóng', 'Sữa tắm']","['Máy giặt', 'Máy sấy phí Miễn phí – Trong căn hộ', 'Tiện nghi thiết yếu', 'Móc treo quần áo', 'Bộ chăn ga gối', 'Mành chắn sáng cho phòng', 'Bàn là', 'Giá phơi quần áo', 'Nơi để quần áo']",['TV'],['Sân chơi ngoài trời'],['Điều hòa nhiệt độ'],,"['Wi-fi', 'Không gian riêng để làm việc', 'Bộ phát Wi-fi bỏ túi']","['Tủ lạnh', 'Lò vi sóng', 'Đồ nấu ăn cơ bản', 'Bát đĩa và đồ bạc', 'Bếp', 'Ấm đun nước nóng', 'Cà phê']","['Lối vào riêng', 'Hiệu giặt ủi tự động gần đây']",,"['Bể bơi', 'Thang máy', 'Phòng tập thể hình', 'Chỗ đỗ xe có thu phí trong khuôn viên']","['Cho phép gửi hành lý', 'Cho phép hút thuốc', 'Cho phép ở dài hạn', 'Tự nhận phòng', 'Bàn phím']","['Không có: Camera an ninh trong nhà', 'Không có: Bếp', 'Không có: Hệ thống sưởi']","4,53 · 36 đánh giá","4,4","4,6","4,8","4,8","4,7","4,5",,$20,"['Máy báo khói', 'Máy phát hiện khí CO', 'Bình chữa cháy']",,,
3,https://www.airbnb.com.vn/rooms/999232060022630337?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1756601822&check_in=2023-12-10&check_out=2023-12-15&source_impression_id=p3_1702210146_GhglywQIhee26Eo8&previous_page_section_name=1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,https://www.airbnb.com.vn/rooms/671284594282159827?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-12-10&check_out=2023-12-15&source_impression_id=p3_1702210146_LPhzF5GaBKQMCc52&previous_page_section_name=1000,M Apt-Deluxe 1BR5 Apt*&Sofa bed-Rooftop Pool-HCMC,3 khách ·  · 1 phòng ngủ  ·  · 1 giường ·  · 1 phòng tắm đầy đủ và 1 phòng vệ sinh cơ bản riêng,"Toàn bộ căn hộ cho thuê tại Bình Thạnh, Việt Nam","Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam","Được khách
yêu thích",Hoàn tiền một phần: Nhận lại 50% chi phí cho tất cả các đêm cách thời điểm bạn hủy 24 giờ trở lên. Không được hoàn tiền cho số đêm bạn đã ở hoặc phí dịch vụ.,Tối đa 3 khách,$32,['Hướng nhìn ra đường chân trời thành phố'],"['Máy sấy tóc', 'Sản phẩm vệ sinh', 'Dầu gội đầu', 'Xà phòng tắm', 'Nước nóng', 'Sữa tắm']","['Máy giặt phí Miễn phí – Trong căn hộ', 'Tiện nghi thiết yếu', 'Móc treo quần áo', 'Bộ chăn ga gối', 'Bàn là', 'Giá phơi quần áo', 'Nơi để quần áo: tủ quần áo']","['32"" HDTV với Netflix, truyền hình cáp tiêu chuẩn']",,['Hệ thống điều hòa trung tâm'],,"['Wi-fi', 'Không gian riêng để làm việc']","['Bếp', 'Tủ lạnh', 'Lò vi sóng', 'Đồ nấu ăn cơ bản', 'Bát đĩa và đồ bạc', 'Bếp từ Teka bằng thép không gỉ', 'Ấm đun nước nóng', 'Ly uống rượu vang', 'Máy nướng bánh mỳ', 'Cà phê']","['Lối vào riêng', 'Hiệu giặt ủi tự động gần đây']",,"['Bể bơi Chung trong nhà – có sẵn hoặc phục vụ quanh năm, mở cửa theo giờ giấc cụ thể, tầng thượng', 'Thang máy', 'Bãi đỗ xe có người phục vụ, trong khuôn viên']","['Cho phép gửi hành lý', 'Cho phép hút thuốc', 'Cho phép ở dài hạn', 'Tự nhận phòng', 'Bàn phím']","['Không có: Camera an ninh trong nhà', 'Không có: Máy sấy quần áo', 'Không có: Hệ thống sưởi']",,,,,,,,,$23,"['Máy báo khói', 'Máy phát hiện khí CO', 'Bình chữa cháy']",,,
5,https://www.airbnb.com.vn/rooms/848048786974920360?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-12-10&check_out=2023-12-15&source_impression_id=p3_1702210146_MTEVwBQthtj5CQPW&previous_page_section_name=1000,"Vinhomes Bình Thạnh, Trung tâm 3 45 tầng 2 giường 2 phòng tắm",4 khách ·  · 2 phòng ngủ  ·  · 2 giường ·  · 2 phòng tắm,"Toàn bộ căn hộ cho thuê tại Bình Thạnh, Việt Nam","Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",,Hoàn tiền một phần: Nhận lại 50% chi phí cho tất cả các đêm cách thời điểm bạn hủy 24 giờ trở lên. Không được hoàn tiền cho số đêm bạn đã ở hoặc phí dịch vụ.,Tối đa 4 khách,$42,,"['Máy sấy tóc', 'Sản phẩm vệ sinh', 'Dầu gội đầu', 'Dầu xả', 'Xà phòng tắm', 'Nước nóng', 'Sữa tắm']","['Máy giặt', 'Tiện nghi thiết yếu', 'Móc treo quần áo', 'Bộ chăn ga gối', 'Thêm chăn gối', 'Bàn là', 'Giá phơi quần áo', 'Nơi để quần áo: tủ quần áo']","['TV', 'Thiết bị tập thể dục']",,['Điều hòa nhiệt độ'],,"['Wi-fi', 'Không gian riêng để làm việc']","['Bếp', 'Tủ lạnh', 'Lò vi sóng', 'Đồ nấu ăn cơ bản', 'Bát đĩa và đồ bạc', 'Tủ đông', 'Ấm đun nước nóng', 'Ly uống rượu vang', 'Bàn ăn']",,,"['Thang máy', 'Phòng thể hình chung trong tòa nhà', 'Chỗ đỗ xe có thu phí trong khuôn viên']","['Cho phép ở dài hạn', 'Tự nhận phòng', 'Bàn phím']","['Không có: Camera an ninh trong nhà', 'Không có: Máy sấy quần áo', 'Không có: Hệ thống sưởi']","4,82 · 17 đánh giá","4,7","4,8","4,8","4,9","4,9","4,8",,$30,"['Máy báo khói', 'Máy phát hiện khí CO', 'Bình chữa cháy']",-$19,,
6,https://www.airbnb.com.vn/rooms/652753899042490218?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-12-10&check_out=2023-12-15&source_impression_id=p3_1702210146_IWCDYfhQkrUhqgQJ&previous_page_section_name=1000,Promotion Vinhomes Apartment 1 Bedroom w City View,2 khách ·  · 1 phòng ngủ  ·  · 2 giường ·  · 1 phòng tắm,"Toàn bộ căn hộ chung cư cao cấp tại Bình Thạnh, Việt Nam","Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam","Được khách
yêu thích",Hoàn tiền một phần: Nhận lại 50% chi phí cho tất cả các đêm cách thời điểm bạn hủy 24 giờ trở lên. Không được hoàn tiền cho số đêm bạn đã ở hoặc phí dịch vụ.,Tối đa 2 khách,$37,['Hướng nhìn ra hồ bơi'],"['Máy sấy tóc', 'Sản phẩm vệ sinh', 'Dầu gội đầu', 'Dầu xả (subject to availability)', 'Xà phòng tắm Mega Mall', 'Nước nóng', 'Sữa tắm']","['Máy giặt phí Miễn phí – Trong căn hộ', 'Tiện nghi thiết yếu', 'Móc treo quần áo', 'Bộ chăn ga gối', 'Thêm chăn gối', 'Mành chắn sáng cho phòng', 'Bàn là', 'Giá phơi quần áo', 'Nơi để quần áo: tủ quần áo']","['50"" HDTV với truyền hình cáp tiêu chuẩn', 'Thiết bị tập thể dục: máy tập toàn thân, tạ tay, máy chạy bộ', 'Bàn bóng bàn', 'Rạp chiếu phim']","['Sách và đồ chơi trẻ em', 'Bộ dụng cụ ăn uống cho trẻ em', 'Chấn song cửa sổ', 'Đồ bịt ổ điện', 'Sân chơi ngoài trời']","['Hệ thống điều hòa trung tâm', 'Lò sưởi trong nhà: điện', 'Hệ thống sưởi']",,"['Wi-fi', 'Không gian riêng để làm việc']","['Bếp', 'Tủ lạnh', 'Lò vi sóng', 'Đồ nấu ăn cơ bản', 'Bát đĩa và đồ bạc', 'Tủ lạnh mini', 'Bếp từ Teka bằng thép không gỉ', 'Ấm đun nước nóng', 'Ly uống rượu vang', 'Nồi cơm điện', 'Bàn ăn']","['Ven sông/hồ/biển', 'Hiệu giặt ủi tự động gần đây', 'Lối vào khu nghỉ dưỡng']","['Sân hiên hoặc ban công chung', 'Sân sau chung – Có hàng rào kín', 'Khu vực ăn uống ngoài trời', 'Lò nướng BBQ', 'Ghế tắm nắng']","['Bể bơi Chung ngoài trời – có sẵn hoặc phục vụ quanh năm, mở cửa theo giờ giấc cụ thể, hồ bơi tiêu chuẩn', 'Bồn tắm nước nóng riêng', 'Thang máy', 'Thiết bị sạc xe điện', 'Phòng thể hình chung trong tòa nhà', 'Bãi đỗ xe có thu phí, ngoài khuôn viên', 'Chỗ đỗ xe có thu phí trong khuôn viên']","['Cho phép thú cưng', 'Cho phép gửi hành lý', 'Cho phép hút thuốc', 'Cho phép ở dài hạn', 'Tự nhận phòng', 'Hộp khóa']",['Không có: Máy sấy phí Miễn phí – Trong căn hộ'],,,,,,,,$12,$28,"['Camera an ninh trong nhà', 'Máy báo khói', 'Máy phát hiện khí CO', 'Bình chữa cháy']",-$60,,
7,https://www.airbnb.com.vn/rooms/1014830107206572261?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1771162145&check_in=2023-12-10&check_out=2023-12-15&source_impression_id=p3_1702210146_T8r654E69ufs%2FduW&previous_page_section_name=1000,Phòng ngủ ấm cúng Landmark 1 Vinhomes View Phòng tập thể dục A/C,1 giường ·  · Phòng vệ sinh chung,"Phòng tại Bình Thạnh, Việt Nam","Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",,Đặt phòng/đặt chỗ này không được hoàn tiền.,Tối đa 2 khách,$21,"['Hướng nhìn ra kênh', 'Hướng nhìn ra đường chân trời thành phố', 'Hướng nhìn ra sân trong', 'Hướng nhìn ra hồ bơi', 'Hướng nhìn ra công viên']","['Máy sấy tóc', 'Dầu gội đầu', 'Dầu xả', 'Xà phòng tắm', 'Nước nóng']","['Máy giặt', 'Tiện nghi thiết yếu', 'Móc treo quần áo', 'Bộ chăn ga gối', 'Mành chắn sáng cho phòng', 'Giá phơi quần áo', 'Nơi để quần áo']","['TV', 'Thiết bị tập thể dục: máy tập toàn thân, tạ tay, máy tập đạp xe, máy chạy bộ', 'Sách và ấn phẩm để đọc', 'Rạp chiếu phim']",['Sân chơi ngoài trời'],['Điều hòa nhiệt độ'],"['Khóa ở cửa phòng ngủ', 'Camera an ninh trong nhà', 'Máy báo khói', 'Máy phát hiện khí CO', 'Bình chữa cháy', 'Bộ sơ cứu']","['Wi-fi', 'Không gian riêng để làm việc']","['Bếp', 'Tủ lạnh', 'Lò vi sóng', 'Đồ nấu ăn cơ bản', 'Bát đĩa và đồ bạc', 'Tủ đông', 'Bếp', 'Ấm đun nước nóng', 'Nồi cơm điện', 'Bàn ăn']","['Ven sông/hồ/biển', 'Lối ra hồ', 'Hiệu giặt ủi tự động gần đây']","['Sân hoặc ban công', 'Khu vực ăn uống ngoài trời', 'Lò nướng BBQ']","['Bể bơi Chung ngoài trời – có sẵn hoặc phục vụ quanh năm, mở cửa theo giờ giấc cụ thể', 'Thang máy', 'Phòng thể hình chung trong tòa nhà', 'Chỗ đỗ xe có thu phí trong khuôn viên', 'Nhà một tầng']","['Cho phép hút thuốc', 'Cho phép ở dài hạn', 'Tự nhận phòng', 'Khóa thông minh']","['Không có: Máy sấy quần áo', 'Không có: Hệ thống sưởi']",,,,,,,,$5,$16,,,,
8,https://www.airbnb.com.vn/rooms/887616406598670584?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-12-10&check_out=2023-12-15&source_impression_id=p3_1702210146_nLV7ZH%2BrVoepuVNW&previous_page_section_name=1000,Landmark Plus | Designer - 47F View - Được trang bị,2 khách ·  · 1 phòng ngủ  ·  · 1 giường ·  · 1 phòng tắm,"Toàn bộ căn hộ cho thuê tại Bình Thạnh, Việt Nam","Bình Thạnh, Ho Chi Minh City, Việt Nam","Được khách
yêu thích",Hoàn tiền một phần: Nhận lại 50% chi phí cho tất cả các đêm cách thời điểm bạn hủy 24 giờ trở lên. Không được hoàn tiền cho số đêm bạn đã ở hoặc phí dịch vụ.,Tối đa 2 khách,$47,"['Hướng nhìn ra đường chân trời thành phố', 'Hướng nhìn ra sông']","['Bồn tắm', 'Máy sấy tóc', 'Sản phẩm vệ sinh', 'Dầu gội đầu', 'Dầu xả', 'Xà phòng tắm', 'Bồn cầu vệ sinh thông minh', 'Nước nóng', 'Sữa tắm']","['Máy giặt phí Miễn phí – Trong căn hộ', 'Tiện nghi thiết yếu', 'Móc treo quần áo', 'Bộ chăn ga gối', 'Mành chắn sáng cho phòng', 'Bàn là', 'Giá phơi quần áo', 'Nơi để quần áo: tủ quần áo và tủ ngăn kéo']","['Kết nối Ethernet', 'TV']",['Sân chơi ngoài trời'],"['Điều hòa nhiệt độ', 'Quạt cầm tay']",,"['Wi-fi', 'Không gian riêng để làm việc']","['Bếp', 'Tủ lạnh', 'Lò vi sóng', 'Đồ nấu ăn cơ bản', 'Bát đĩa và đồ bạc', 'Tủ đông', 'Bếp', 'Ấm đun nước nóng', 'Máy pha cà phê', 'Ly uống rượu vang', 'Bàn ăn', 'Cà phê']","['Ven sông/hồ/biển', 'Hiệu giặt ủi tự động gần đây']",['Sân hoặc ban công'],"['Thang máy', 'Thiết bị sạc xe điện', 'Bãi đỗ xe có người phục vụ, trong khuôn viên – 1 chỗ', 'Nhà một tầng']","['Cho phép ở dài hạn', 'Tự nhận phòng', 'Hộp khóa', 'Có dịch vụ dọn vệ sinh trong thời gian ở']","['Không có: Camera an ninh trong nhà', 'Không có: Máy sấy quần áo', 'Không có: Máy phát hiện khí CO', 'Không có: Hệ thống sưởi']",,,,,,,,,$33,['Máy báo khói'],,-$26,
9,https://www.airbnb.com.vn/rooms/47190938?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-12-10&check_out=2023-12-15&source_impression_id=p3_1702210146_rbOZh7S8Eht2urw3&previous_page_section_name=1000,KHUYẾN MÃI - 2 phòng ngủ Vinhomes Landmark HighFloor,5 khách ·  · 2 phòng ngủ  ·  · 2 giường ·  · 2 phòng tắm,,"Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",,Hoàn tiền một phần: Nhận lại 50% chi phí cho tất cả các đêm cách thời điểm bạn hủy 24 giờ trở lên. Không được hoàn tiền cho số đêm bạn đã ở hoặc phí dịch vụ.,Tối đa 5 khách,$48,"['Hướng nhìn ra sân trong', 'Hướng nhìn ra vườn', 'Hướng nhìn ra hồ', 'Hướng nhìn ra bến du thuyền', 'Hướng nhìn ra công viên', 'Hướng nhìn ra hồ bơi', 'Hướng nhìn ra sông']","['Máy sấy tóc', 'Sản phẩm vệ sinh', 'Dầu gội đầu', 'Dầu xả Mitsubishi from Japan', 'Xà phòng tắm MegaMall', 'Nước nóng', 'Sữa tắm']","['Máy giặt phí Miễn phí – Trong căn hộ', 'Tiện nghi thiết yếu', 'Móc treo quần áo', 'Bộ chăn ga gối', 'Thêm chăn gối', 'Mành chắn sáng cho phòng', 'Bàn là', 'Giá phơi quần áo', 'Két sắt', 'Nơi để quần áo: tủ quần áo']","['50"" HDTV với truyền hình cáp tiêu chuẩn', 'Thiết bị tập thể dục: máy tập toàn thân, tạ tay, máy tập đạp xe, máy chạy bộ', 'Bàn bóng bàn', 'Sách và ấn phẩm để đọc']","['Bộ dụng cụ ăn uống cho trẻ em', 'Tấm chắn lò sưởi', 'Chấn song cửa sổ', 'Đồ bịt ổ điện', 'Rào chắn an toàn cho em bé']","['Hệ thống điều hòa trung tâm', 'Lò sưởi trong nhà: điện', 'Hệ thống sưởi']",,"['Wi-fi', 'Không gian riêng để làm việc']","['Bếp', 'Tủ lạnh', 'Lò vi sóng', 'Đồ nấu ăn cơ bản', 'Bát đĩa và đồ bạc', 'Tủ lạnh mini', 'Bếp từ Teka bằng thép không gỉ', 'Ấm đun nước nóng', 'Ly uống rượu vang', 'Nồi cơm điện', 'Bàn ăn']","['Ven sông/hồ/biển', 'Lối ra hồ', 'Lối vào riêng', 'Hiệu giặt ủi tự động gần đây', 'Lối vào khu nghỉ dưỡng']","['Sân hiên hoặc ban công chung', 'Sân sau chung – Có hàng rào kín', 'Khu vực ăn uống ngoài trời', 'Lò nướng BBQ', 'Bến thuyền']","['Bể bơi Chung ngoài trời – có sẵn hoặc phục vụ quanh năm, mở cửa theo giờ giấc cụ thể, hồ bơi tiêu chuẩn', 'Thang máy', 'Thiết bị sạc xe điện', 'Phòng thể hình chung trong tòa nhà', 'Bãi đỗ xe có thu phí, ngoài khuôn viên', 'Chỗ đỗ xe có thu phí trong khuôn viên', 'Nhà một tầng']","['Cho phép thú cưng', 'Cho phép gửi hành lý', 'Cho phép hút thuốc', 'Cho phép ở dài hạn', 'Tự nhận phòng', 'Bàn phím']","['Không có: Máy sấy phí Miễn phí – Trong căn hộ', 'Không có: Máy phát hiện khí CO']","4,85 · 59 đánh giá",,,,,,,$19,$36,"['Camera an ninh trong nhà', 'Máy báo khói', 'Bình chữa cháy']",-$107,,
